link|block
"Про це&nbsp;повідомили&nbsp;в прес-службі залізниці.
Паровоз Л-4600 був побудований Луганським заводом у 1952 році.
Поїзд вирушить зі станції Київ-Пасажирський о 12:50, а закінчуватиметься подорож прибуттям на головний вокзал столиці о 15:15.
Під час подорожі навколо Києва пасажири зможуть побачити краєвиди стародавньої столиці, Дніпро, вантажні й пасажирські станції та локомотивні депо.
Читайте також: Через снігопади можуть обмежити рух на дорозі Рівне-Львів
Після закінчення подорожі пасажири зможуть безкоштовно відвідати виставку історичного рухомого складу, розташовану біля 14-ої колії станції Київ-Пасажирський.
Вартість дорослого квитка становить 71,54 грн, дитячого &ndash; 61,15 грн. Їх можна придбати в залізничних касах або&nbsp;онлайн. Для цього потрібно зазначити маршрут Київ &ndash; Караваєві Дачі.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертв"|148
"Про це повідомляє прес-центр ООС.""Сьогодні, 5 січня, о 9:45 в сервісній зоні на КПВВ ""Станиця Луганська"" під час оформлення документів на перехід до підконтрольних владі України районів 65-річному чоловікові, який нещодавно підійшов до КПВВ, стало погано зі здоров'ям і він втратив свідомість"", - повідомили у штабі.Як зазначається, негайно українськими прикордонниками були викликані медичний представник Червоного Хреста та карета швидкої допомоги. ""На жаль, з прибуттям лікарів, їм залишалося лише констатувати смерть чоловіка. Попередній діагноз: зупинка серця"", - додали у прес-центрі.""Пізніше, об 11:00 на КПВВ ""Майорськ"", після прибуття з боку тимчасово непідконтрольної владі України території, 79-річна жінка поскаржилася українським прикордонникам на погіршення стану здоров'я. Оперативно прибувши, співробітники однієї з профільних громадських організацій з надання медичної допомоги провели термінові реанімаційні заходи, але, на жаль, не змогли спасти життя цієї людини"", - додали у штабі.читайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавру""Українська сторона СЦКК заявляє, що штучне створення довгих черг та неорганізованості в роботі КПВВ в холодну пору року з боку російсько-окупаційних військ вкотре наражає на небезпеку мирне населення, серед яких, переважно люди похилого віку. Люди прямують за пенсіями та соціальними виплатами, проте цей шлях іноді є небезпечним. Українська сторона СЦКК закликає окупаційну адміністрацію та збройні формування РФ не нехтувати нормами міжнародного гуманітарного права щодо забезпечення сприятливих умов для здоров'я та життя цивільного населення"", - вказали у прес-центрі.Нагадаємо, спостерігачі ОБСЄ зафіксували скупчення військової техніки бойовиків біля Луганська"|149
"Про це&nbsp;повідомляє відділ комунікації обласної поліції.
&laquo;Двоє людей загинуло в результаті аварії в Бучацькому районі.&nbsp;Нещастя&nbsp;трапилося напередодні наприкінці дня неподалік села Доброполе на автодорозі Тернопіль &mdash; Івано-Франківськ. Там не розминулися вантажівка та Kia Sportage. За попередньою інформацією, фура їхала порожньою і в якийсь момент її почало заносити. Вантажівку викинуло на смугу зустрічного руху і вона врізалася в іномарку&raquo;, &mdash; йдеться у повідомленні.
Зазначається, що через сильний удар транспортні засоби розкидало в різні боки проїжджої частини.
В аварії загинув водій Kia Sportage та дитина 2007 року народження. Ще двох пасажирів доправили до лікарні.
Водій вантажівки живий, додали в поліції.
Триває слідство.
Нагадаємо, у США внаслідок масової ДТП із загорянням загинули семеро людей.читайте також: Знайшли мертвим батька відомого футболіста"|150
"Про це повідомляє Укргідрометцентр.
За даними синоптиків, вночі у західних, північних областях, а також у Вінницькій, Черкаській області та в Криму помірний сніг, на решті території без істотних опадів.
Вдень на більшій частині території країни невеликий, у східних областях помірний сніг. На дорогах ожеледиця.
Вітер південно-східний з переходом на північно-східний, 5-10 м / с.
Температура вночі від -4 до -9, в східній частині України до - 12, вдень від -2 до -7, на крайньому півдні країни близько 0; в Карпатах протягом доби від -8 до -13.
Нагадаємо, синоптики прогнозують теплий січень.читайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавру"|151
"У суботу, 5 січня, з 23 поверху будинку за адресою вулиця Зарічна, 1Г викинулася 28-річна дівчина. В її квартирі знайшли три записки, які були адресовані різним людям.Дівчина викинулася з вікна близько 3:00 ночі, тіло виявив двірник житлового комплексу близько 7:40, передає Главком.&nbsp;За словами поліцейських, на тілі загиблої не було слідів насильницької смерті. Квартира, в якій вона проживала, виявилася відкрита. Там на кухонному столику стояли три келихи з недопитими напоями та лежали три записки, які, судячи з усього, залишила дівчина, що вистрибнула з балкона. Також вдалося встановити ім'я загиблої, її звали Надія.Читайте також: На Дніпропетровщині жінка з дитиною на руках вистрибнула з багатоповерхівки&nbsp;читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше годиниЗаписки були адресовані різним людям. Одна з них була адресована, швидше за все, брату загиблої, який на даний момент проживає в Ізраїлі.Друга записка була адресована чоловікові на ім'я Олександр.У третій записці були слова подяки близьким за підтримку. І прохання про прощення.&nbsp;"|152
"Про це сказав&nbsp;ТАСС&nbsp;прес-секретар патріарха Московського і Всієї Русі священик Олександр Волков, коментуючи підписаний Константинопольським патріархом Варфоломієм томос для Православної церкви України.
""Патріарх Варфоломій сьогодні остаточно відірвав себе від світового православ'я, вступивши в розкол"", - сказав він.
За словами Волкова, ""підписання томосу нікчемне з точки зору канонів і трагічне для Варфоломія і його прихильників, які підписали сьогодні свою духовну капітуляцію"".
Нагадаємо, у&nbsp;Стамбулі підписали томос про автокефалію ПЦУ.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світу"|153
"Затриманий вимагав у директора приватного підприємства 10% від суми контракту на поставку продукції для заводу ""МіГремонт"", передає&nbsp;прес-служба військової прокуратури Південного регіону.У грудні минулого року під контролем правоохоронців відбулася передача першої частини суми в розмірі 4,7 тис. гривень.
Напередодні підозрюваного затримали при отриманні другої частини хабара у розмірі 3 тис. грн.
За цим фактом ведеться розслідування за ознаками ст. 368 (одержання неправомірної вигоди) Кримінального кодексу України.
Військова прокуратура має намір повідомити чиновнику про підозру і просити суд обрати йому запобіжний захід.читайте також: Українців чекає аномально тепла зима: прогноз на два місяці"|154
"Про це повідомляє&nbsp;прес-служба Президента.
Зазначається, що нагороду вручено ""за визначний особистий внесок Його Всесвятості у розбудову автокефальної помісної Православної Церкви України, піднесення авторитету православ'я у світі, багаторічну діяльність з утвердження ідеалів духовності, милосердя і міжконфесійної злагоди"".
Вселенський патріарх, в свою чергу, вручив Порошенку пам&rsquo;ятну медаль &ndash; хрест Панагія Паммакарістос.
&nbsp;Президент також запросив патріарха Варфоломія з візитом в Україну.
Нагадаємо, у Стамбулі підписали томос про автокефалію ПЦУ.&nbsp;читайте також: Знайшли мертвим батька відомого футболіста"|155
"Фото перекладеного тексту виклав посол України в Туреччині Андрій СибігаПерший абзац складає вступ, у якому йдеться, зокрема, про слова апостола Павла: ""Ви приступили до гори Сіонської... і до Церкви первороджених"". Там також зазначається, що хоч Православна церква й єдина, проте розташована в різних місцях на землі.&nbsp;Переклад підписаного Вселенським Патріархом Варфоломієм І у присутності Президента України Петра Порошенка та його дружини пані Марини та Митрополита Київського та усієї України Патріаршого і Синодального #Томос|у про надання автокефалії Православній церкві України pic.twitter.com/3aQCT86NfM&mdash; Andrii Sybiha ?? (@andrii_sybiha) January 5, 2019Далі йдеться про те, що Вселенський Патріархат визнає в межах політично сформованої території України, яка протягом десятиліть вимолювала право на самостійність церкви, автокефальну православну церкву.&nbsp;""...Для зцілення постійно загрожуючих розколів та розділів у помісних церквах однодумно визначаємо та проголошуємо, щоб уся православна церква, розташована в межах політично сформованою і цілковито незалежної держави Україна разом зі священними митрополіями, архиєпископіями, єписокопіями, монастирями, парафіями... існувала віднині канонічно автокефальною, незалежною і самоврядною"", - йдеться у тексті.&nbsp;читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше годиниТакож зазначається, що титул предстоятеля Епіфанія визначатиметься як ""Блаженніший Митрополит Київський і всієї України"". Додавати чи віднімати від титулу якісь частини без дозволу Вселенського Патріархату заборонено.Також Константинополь у Томосі визнав ПЦУ своєю&nbsp;""донькою"", підтвердив підпорядкування Вселенському Патріархату і закликав усі православні церкви світу визнати українську помісну церкву.&nbsp;За Томосом, незгодні з будь-якими рішеннями в Православній церкві України архієреї та інші священики можуть надсилати Вселенському Патріарху апеляційні скарги, а він, своєю чергою має повноваження ухвалювати безапеляційні судові рішення щодо єпископів та іншого духовенства помісних церков.Нагадаємо, у Стамбулі підписали томос про автокефалію ПЦУ."|156
"Повідомляється, що 3 січня до поліції звернувся 19-річний хлопець та повідомив, що його подруги з 31 грудня 2018 року не відповідають на дзвінки.&nbsp;
Поліція та слідчі виїхали на місце мешкання дівчат, в квартирі&nbsp;поліцейські виявили тіла двох 20-річних&nbsp;іноземних громадянок з ознаками насильницької смерті у вигляді різаних ран шиї, повідомляє Нацполіція.&nbsp;
За даним фактом слідчі відкрили кримінальне провадження за п. 1, 6 ч. 2 ст. 115 (умисне вбивство) КК України.
Після огляду місця події поліцейські встановили, що з квартири зникли ноутбук, принтер та мобільні телефони загиблих. Також відкрите кримінальне провадження за ч. 4 ст. 187 (розбій) КК України.
У вбивстві студенток поліція підозрює громадянина Туреччини Цокмез Гусну Цан, 1998 року народження.
Нагадаємо, у Харкові вбили двох студенток.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію"|157
"Про це повідомили у прес-службі Нацполіції у Львівській області.&nbsp;
""Слідчі затримали зловмисника в порядку ст. 208 КПК України. Йому повідомилено про підозру у скоєнні кримінального правопорушення, передбаченого ч. 3 ст. 368 (прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою) Кримінального кодексу України. Затриманому посадовцю суд обрав міру запобіжного заходу - цілодобовий домашній арешт"", - повідомили у Нацполіції.
Санкція інкримінованої посадовцю статті передбачає позбавлення волі терміном від п&rsquo;яти до десяти років без права обіймати певні посади чи займатися певною діяльністю на строк до трьох років, із конфіскацією майна.
Нагадаємо, голову РДА на Львівщині впіймали на хабарі.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світу"|158
"Літак, що виконував рейс Лондон-Салоніки, зі 182 пасажирами на борту, здійснив екстрену посадку в румунському місті Тімішоара через погані метеоумови в Греції і закриття аеропорту в Салоніках. Про це поінформували в прес-службі аеропорту в Тімішоарі, пише Главком.&nbsp;
Читайте також: У Польщі під час рейсу у літак поцілила блискавка
&laquo;Всім пасажирам була надана необхідна допомога. Через погані метеоумови у Греції представники авіакомпанії запропонували пасажирам скористатися автобусом. Понад 100 пасажирів продовжили свій шлях до Греції саме автобусом, а решта 71 пасажир відмовилися від цієї послуги&raquo;, - йдеться в повідомленні.
Зазначається також, що представники грецької авіакомпанії Aegean направлять інший літак для відправлення до Греції решти пасажирів. Очікується, що це відбудеться сьогодні після обіду.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світу"|159
Петро Порошенко обговорив у Стамбулі з президентом Туреччини Реджепом Таїпом Ердоганом шляхи звільнення незаконно ув'язнених українських громадян з російських в&rsquo;язниць.Про це&nbsp;повідомили&nbsp;у прес-службі глави держави.Порошенко перебуває з робочим візитом у Туреччині для участі у церемонії підписання та вручення Томосу про автокефалію Православної церкви України.Повідомляється, що у розмові окрему увагу було приділено заходам з метою звільнення незаконно ув'язнених українських громадян з російських в&rsquo;язниць, а також забезпечення прав громадян України, в тому числі кримських татар, на території Криму в умовах російської окупації.читайте також: Українців чекає аномально тепла зима: прогноз на два місяціПорошенко подякував Туреччині за співавторство у схваленій в грудні 2018 року резолюції Генеральної асамблеї ООН щодо засудження мілітаризації російською стороною Криму та Азову.Лідери обговорили посилення координації взаємодії на міжнародній арені, перспективи укладення двосторонньої угоди про зону вільної торгівлі.Нагадаємо, українська делегація&nbsp;перебуває з візитом у Стамбулі, де буде підписано та вручено томос для Православної церкви України.|160
"По завершенню процедури прозвучать заяви.Наступного дня,&nbsp;6 січня, президент України та члени делегації візьмуть участь у церемонії вручення Томосу, Божественній Літургії (буде спільне відправлення Вселенським патріархом Варфоломієм і Митрополитом Епіфанієм), та церемонії освячення води у затоці ""Золотий Ріг"".читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію"|161
Про це повідомляє&nbsp;Патрульна поліція Черкаської області.Чоловік зайшов до магазину під виглядом покупця і попросив показати йому прикраси.Коли ж продавець передала йому коштовність з вітрини, одразу почав тікати до виходу.Він намагався сховати перстень з діамантом вартістю 30,5 тис. грн у роті, але охорона його зупинила.При поліцейських злодій &ldquo;виплюнув&rdquo; каблучку і визнав, що вчинив крадіжку, тому що у нього не було грошей.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію|162
"Про це повідомив його колега поет і режисер Владислав Маленко на своїй сторінці в Facebook.""Хлопці, пішов мій друг Іван Бортник"", - написав він.Іван Бортник народився в Москві в 1939 році, навчався у Російському інституті театрального мистецтва і Театральному училищі імені Щукіна. З 1967 року працював у московському театрі на Таганці, а також багато знімався в кіно.
Одна з його відомих ролей - бандита на прізвисько Промокашка в картині Місце зустрічі змінити не можна.
Також знімався в таких фільмах, як Рідня, Іван та Марія, Друга спроба Віктора Крохіна, Освідчення в коханні, Дзеркало для героя.&nbsp;
У 1975 році актор і співак Володимир Висоцький присвятив Бортнику пісню Лист до друга, або Замальовка про Париж.&nbsp;читайте також: Лавров пов'язує головну загрозу Росії із законом про Україну"|163
"Про це співробітники місцевого відділу поліції&nbsp;повідомили&nbsp;у Twitter у суботу, 5 січня, передає НВ.Поліція має інформацію про &ldquo;численні жертви&rdquo; і закликає не наближатися до місця інциденту. Наразі триває розслідування.
Повідомляється про щонайменше трьох загиблих і чотирьох поранених.
На відео, яке зафільмував свідок, видно скривавленого чоловіка, який не рухається.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|164
Про це пише&nbsp;The Daily Beast.У п&rsquo;ятницю, 4 січня, лідер демократів у Сенаті Чак Шумер підготував резолюцію, яка не підтримує рішення Мінфіну про зняття санкцій з компаній Дерипаски - EN+, Rusal і EuroSibEnergo.Водночас Шумер зазначив, що і сам ще не прийняв рішення щодо цієї резолюції:&ldquo;Я роблю це не тому, що вважаю, що Конгрес має ухвалити цю резолюцію - я ще не прийняв такого рішення - а щоб зберегти процедурні можливості для цього&rdquo;.читайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавруШумер заявив, що законодавці продовжать оцінювати підстави для рішення адміністрації Трампа про зняття санкцій з бізнесу Дерипаски.Якщо Шумер подасть резолюцію про незгоду з цим рішенням, документ матиме здобути просту більшість голосів у верхній та нижній палатах Конгресу, аби потрапити на стіл Трампа. Втім, Дональд Трамп майже напевно накладе вето на таку резолюцію. Для того, щоб блокувати вето, потрібна буде єдність конгресменів.Крім того, у США діє закон про протидію ворогам Америки через санкції (CAATSA), який дозволяє Сенату і Палаті представників блокувати зусилля Білого дому зі зміни санкцій шляхом прийняття спільного рішення про несхвалення таких дій протягом 30 днів після оголошення адміністрації. На думку американських законодавців, цей закон - чи не найкращий засіб для блокування зняття санкцій з підприємств, пов'язаних з Дерипаскою.|165
Про це пише 24 канал з посиланням на портал&nbsp;Food News.Науковці виявили, що вживання&nbsp;великої кількості чаю або кави підвищує&nbsp;рівень адреналіну, норадреналіну і кортизолу в крові.Ці гормони можуть спричинити нервозність навіть у тих, хто не має проблем з психічним здоров&rsquo;ям. А у разі, якщо людина схильна до тривожних станів, це може призвести до панічних атак.Щоб попередити такі небезпечні стани, необхідно вживати продукти, які містять амінокислоту триптофан. Низький рівень цієї речовини сприяє вироблення серотоніну, який призводить до депресії, безсоння, занепокоєння і інших розладів психіки.читайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавруАмінокислота триптофан міститься в рибі, крабах, шпинаті, вівсі, яйцях, бананах, насінні гарбуза і кунжуті.Знизити рівень тривожності можуть продукти, які містять антиоксиданти та цинк. Серед них &ndash; кефір, квашена капуста, овочі (артишоки, буряк, броколі), фрукти, горіхи пекан і волоські горіхи, солоні огірки, квасолю, куркума і імбир, яловичина, печінка, устриці.|166
Документ підписав вселенський патріарх Варфоломій у патріаршому храмі Святого Георгія на території Вселенського патріархату.Перед підписанням відбулася молитва українською мовою &ndash; усі присутні мали змогу прослухати тропар у виконанні делегації, єпископату і духовенства з України, передає Українська правда.&nbsp;Також молитву прочитав Варфоломій.Потім розгорнули сувій з томосом, виконаний на пергаменті, і Варфоломій підписав його.&nbsp;&nbsp;читайте також: Українців чекає аномально тепла зима: прогноз на два місяціВранці 5 січня у патріаршому храмі Святого Георгія на території Вселенського патріархату відбувся короткий спільний молебень за участю предстоятеля ПЦУ митрополита Епіфанія.На службі була присутня українська делегація у складі президента Петра Порошенко з дружиною, спікера Верховної Ради Андрія Парубія, очільників кількох міністерств та екс-президента Віктора Ющенка.|167
"Такі прогнози озвучила Академія суспільних наук Китаю, повідомляє&nbsp;Depo.ua&nbsp;з посиланням на&nbsp;ТАСС.За словами представника Центру дослідження демографії і розвитку при Державному комітеті охорони здоров'я КНР Хуана Куанші, дані якого наводить газета China Daily, в 2018 році кількість новонароджених, що з'явилися на світ в країні почала зменшуватися, склавши 15-16 млн чоловік. У той час роком раніше ця цифра перевищувала 17,2 млн малюків.Як випливає з ще не оголошених офіційних підрахунків, на які посилається видання, в ряді міст деяких східних провінцій Китаю за останні 12 місяців спостерігалося серйозне падіння народжуваності. Серед таких великих населених пунктів - Циндао і Ляочен (провінція Шаньдун), а також Нінбо (Чжецзян).""Китай послабив заходи планування народжуваності в 2016 році, і всі подружні пари мають право народжувати по дві дитини. Однак, незважаючи на це, населення країни може почати знижуватися навіть раніше 2027 року"", - вважає професор Лу Цзехуа з Пекінського університету.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світуУ зв'язку з такими прогнозами китайський уряд, Який ще недавно боровся з надмірно швидким ростом населення, вже зараз починає розробляти стратегію, яка дозволить КНР краще пристосуватися до подібних демографічних змін.Згідно з прогнозом ООН, населення Китаю досягне свого піку в 1,44 млрд чоловік до 2029 року, після чого почнеться його скорочення. За підрахунками міжнародних експертів, до 2065 року в країні буде проживати близько 1,25 млрд осіб, що відповідає рівню 1996 року."|168
Про це міністр повідомив в ефірі&nbsp;Радіо Свобода.Справа стосується можливого незаконного збагачення та декларування недостовірної інформації.&laquo;Справа на стадії ознайомлення. Думаю, що незабаром, після того як адвокати завершать ознайомлення з усіма матеріалами, справа буде передана до суду. Доступ до матеріалів дали у другій половині листопада 2018 року&raquo;, &ndash; сказав Омелян.За словами міністра, він просив адвокатів не затягувати справу:читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертв&laquo;Там 30 томів, ми зараз завершуємо знайомитися. Я не тисну, вважаю, що адвокати фахові люди. Зі свого боку я лише попросив, щоб не було жодних затягувань&raquo;.Нагадаємо, на початку листопада минулого року НАБУ завершило досудове розслідування справи Омеляна за фактами можливого незаконного збагачення та декларування недостовірної інформації. Міністр, у свою чергу, заявляв про тиск на нього з боку детективів Антикорупційного бюро, яке ініціювало проти нього кримінальне провадження.|169
"Про це повідомляє&nbsp;Associated Press News.
Займання виникло близько 17:00 4 січня у квест-кімнаті ""Escape Room"".
За словами міністра внутрішніх справ Йоахіма Брудзінського, усім дівчатам було по 15 років.
Також у пожежі постраждав 25-річний чоловік, його госпіталізували з опіками.&nbsp;ФОТО З TWITTER&nbsp;RADIO KOSZALINПрес-секретар поліції в Кошаліні Моніка Косець відзначила, що жертви, як вважають, святкували день народження однієї з дівчат.
Представник регіональних пожежників Томаш Кубяк повідомив, що тіла були знайдені в кімнаті, яка була біля осередку вогню, але не постраждала від нього.&nbsp;ФОТО З TWITTER&nbsp;RADIO KOSZALINЗа попередніми даними, дівчата померли від отруєння окисом вуглецю.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертв"|170
"Про це повідомила гендиректорка міжнародного аеропорту ""Львів"" Тетяна Романовська в інтерв'ю виданню ""У відпустку"".Поки що, за її словами, є неофіційне рішення про старт польотів, в січні компанія має приїхати до Львова із операційним аудитом.""Негативно на проведення переговорів вплинуло оголошення про введення воєнного стану. Я припускаю, що саме з цієї причини Qatar Airways і не приїхав до нас на аудит в грудні, як раніше планувалося. Авіаційний ринок дуже чутливий до подібних речей"",&nbsp;&ndash; сказала Тетяна Романовська, додавши, що через воєнний стан призупинила реалізацію рішення про відновлення роботи дочірньої фірми в Україні інша компанія, відомий лоукостер Wizz Air.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалаціюЗагалом, за словами гендиректорки аеропорту, за рік вони перевезли майже 1,6 млн пасажирів - їм не вистачило буквально півдня, щоб перевезти 1,3 тисячі людей і тим самим досягти відповідної позначки. Незважаючи на це, в 2018 році все одно вдалося збільшити цей пасажиропотік на 48% до рекордних для нас 1,599 мільйона людей. Крім того, на свята з 20 грудня по 10 січня лоукостери &ndash; Wizz Air, Ryanair, Ernest &ndash; поставили близько 40 додаткових рейсів."|171
"Про це&nbsp;повідомляє&nbsp;прес-служба компанії.Як зазначається, ДТЕК планує сконцентрувати 68,2949% акцій ""Одесаобленерго"" і 93,9978% ""Київобленерго"".""Дані компанії є операторами системи розподілу в Одеській та Київській областях і не здійснюють діяльність з постачання електроенергії. Діяльність операторів системи розподілу є природною монополією і повністю регулюється НКРЕ"", - йдеться в повідомленні.У повідомленні також йдеться, що 3 січня 2019 року ТОВ ""ДТЕК Нафтогаз"" (Україна) і NGR B.V. (Нідерланди) уклали договори купівлі-продажу акцій даних компаній.читайте також: Знайшли мертвим батька відомого футболіста""Договори укладені з відкладальною умовою та будуть завершені після отримання необхідних дозволів державних органів, включаючи узгодження антимонопольних органів"", - заявили в компанії.Майже 50% акцій ""Одесаобленерго"" належить групі VS Energy росіян Євгена Гінера, Михайла Воєводіна і Олександра Бабакова. 25% акцій перебуває у власності Фонду державного майна. Ще майже 10-ти відсоткова частка належить ПрАТ ""Київобленерго"".Майже 94% акцій ""Київобленерго"" контролюється тією ж&nbsp;VS Energy."|172
"Про це повідомляє за допомогою свого Telegram-каналу нардеп Сергій Лещенко, уточнюючи, що йому про такі плани стало відомо від декількох політиків, з якими Тимошенко поділилася своїми планами, повідомляє&nbsp;Depo.ua.""Мета Тимошенко зрозуміла - в разі обрання, президент деякий час користується інерцією підтримки населення. І цю підтримку в інтересах новообраного президента ефективно конвертувати, отримавши максимальне представництво не тільки у Верховній Раді, а й на рівні мерів, які після децентралізації стали набагато вагомішими політичними фігурами"", - пише Лещенко.Політик робить висновок, що Юлія Тимошенко в разі обрання спробує в 2019 році отримати більшість лояльних мерів.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію""Якщо ж місцеві вибори пройдуть за графіком, восени 2020 року, тобто через півтора року після президентських виборів, є великий ризик втрати підтримки будь-якою владою. Тому тримаємо на думці, що разом з Верховною Радою цієї осені можуть закінчитися повноваження і Кернеса, і Філатова, і Труханова, і Кличко, і Садового"", - резюмує Лещенко."|173
